Month,Year,PRODUCTS,PRODUCT_ID,Quantity (000 Metric Tonnes),updated_date
February,2023,ATF,1,622.73,6/20/2023
January,2023,ATF,1,667.36,6/20/2023
December,2022,ATF,1,659,6/20/2023
November,2022,ATF,1,617.63,6/20/2023
October,2022,ATF,1,615.78,6/20/2023
September,2022,ATF,1,588.28,6/20/2023
August,2022,ATF,1,591.69,6/20/2023
July,2022,ATF,1,578.59,6/20/2023
June,2022,ATF,1,588.17,6/20/2023
May,2022,ATF,1,595.73,6/20/2023
April,2022,ATF,1,552.72,6/20/2023
March,2022,ATF,1,543,6/20/2023
February,2022,ATF,1,435,6/20/2023
January,2022,ATF,1,456,6/20/2023
December,2021,ATF,1,552,6/20/2023
November,2021,ATF,1,504,6/20/2023
October,2021,ATF,1,479,6/20/2023
September,2021,ATF,1,409,6/20/2023
August,2021,ATF,1,379,6/20/2023
July,2021,ATF,1,315,6/20/2023
June,2021,ATF,1,257,6/20/2023
May,2021,ATF,1,268,6/20/2023
April,2021,ATF,1,412,6/20/2023
March,2021,ATF,1,474,6/20/2023
February,2021,ATF,1,432,6/20/2023
January,2021,ATF,1,441,6/20/2023
December,2020,ATF,1,427,6/20/2023
November,2020,ATF,1,376,6/20/2023
October,2020,ATF,1,360,6/20/2023
September,2020,ATF,1,313,6/20/2023
August,2020,ATF,1,256,6/20/2023
July,2020,ATF,1,233,6/20/2023
June,2020,ATF,1,222,6/20/2023
May,2020,ATF,1,110,6/20/2023
April,2020,ATF,1,55,6/20/2023
February,2023,Bitumen,2,801.1,6/20/2023
January,2023,Bitumen,2,658.71,6/20/2023
December,2022,Bitumen,2,716.7,6/20/2023
November,2022,Bitumen,2,845.25,6/20/2023
October,2022,Bitumen,2,590.08,6/20/2023
September,2022,Bitumen,2,362.76,6/20/2023
August,2022,Bitumen,2,316.36,6/20/2023
July,2022,Bitumen,2,340.91,6/20/2023
June,2022,Bitumen,2,689.77,6/20/2023
May,2022,Bitumen,2,734.11,6/20/2023
April,2022,Bitumen,2,801.01,6/20/2023
March,2022,Bitumen,2,943,6/20/2023
February,2022,Bitumen,2,884,6/20/2023
January,2022,Bitumen,2,826,6/20/2023
December,2021,Bitumen,2,772,6/20/2023
November,2021,Bitumen,2,547,6/20/2023
October,2021,Bitumen,2,660,6/20/2023
September,2021,Bitumen,2,397,6/20/2023
August,2021,Bitumen,2,312,6/20/2023
July,2021,Bitumen,2,435,6/20/2023
June,2021,Bitumen,2,570,6/20/2023
May,2021,Bitumen,2,653,6/20/2023
April,2021,Bitumen,2,818,6/20/2023
March,2021,Bitumen,2,1012,6/20/2023
February,2021,Bitumen,2,853,6/20/2023
January,2021,Bitumen,2,821,6/20/2023
December,2020,Bitumen,2,856,6/20/2023
November,2020,Bitumen,2,717,6/20/2023
October,2020,Bitumen,2,640,6/20/2023
September,2020,Bitumen,2,415,6/20/2023
August,2020,Bitumen,2,270,6/20/2023
July,2020,Bitumen,2,414,6/20/2023
June,2020,Bitumen,2,751,6/20/2023
May,2020,Bitumen,2,590,6/20/2023
April,2020,Bitumen,2,187,6/20/2023
February,2023,FO & LSHS,3,568.64,6/20/2023
January,2023,FO & LSHS,3,601.05,6/20/2023
December,2022,FO & LSHS,3,622.03,6/20/2023
November,2022,FO & LSHS,3,579.44,6/20/2023
October,2022,FO & LSHS,3,592.4,6/20/2023
September,2022,FO & LSHS,3,604.33,6/20/2023
August,2022,FO & LSHS,3,616.91,6/20/2023
July,2022,FO & LSHS,3,557.56,6/20/2023
June,2022,FO & LSHS,3,550.19,6/20/2023
May,2022,FO & LSHS,3,548.23,6/20/2023
April,2022,FO & LSHS,3,521.99,6/20/2023
March,2022,FO & LSHS,3,590,6/20/2023
February,2022,FO & LSHS,3,530,6/20/2023
January,2022,FO & LSHS,3,543,6/20/2023
December,2021,FO & LSHS,3,566,6/20/2023
November,2021,FO & LSHS,3,500,6/20/2023
October,2021,FO & LSHS,3,559,6/20/2023
September,2021,FO & LSHS,3,543,6/20/2023
August,2021,FO & LSHS,3,517,6/20/2023
July,2021,FO & LSHS,3,470,6/20/2023
June,2021,FO & LSHS,3,504,6/20/2023
May,2021,FO & LSHS,3,422,6/20/2023
April,2021,FO & LSHS,3,517,6/20/2023
March,2021,FO & LSHS,3,507,6/20/2023
February,2021,FO & LSHS,3,476,6/20/2023
January,2021,FO & LSHS,3,516,6/20/2023
